No,商品名,サブ,色番,爪サンプル,質感,塗った回数,発注コード,商品符号,"チップ
画像","商品
画像",税抜価格,発売年月,ＪＡＮコード,MaisonKOSE,Amazon,楽天,ロハコ,＠コスメ,流通EC,,,,,,,,,,,,,,,
72,ネイルホリック,Juicy,RD404,,クリア,2,46640,DLMI404,,●,¥300,2016/08,4971710466409,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
73,ネイルホリック,Juicy,RD405,,クリア,2,46641,DLMI405,,●,¥300,2016/08,4971710466416,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
74,ネイルホリック,Luxury,RD406,,パール,2,47185,DLMI406,,●,¥300,2017/02,4971710471854,https://maison.kose.co.jp/site/nailholic/g/gDLMI910/,,,,,,,,,,,,,,,,,,,,
75,ネイルホリック,Ethnic,RD407,,,2,47519,DLMI407,,●,¥300,2017/08,4971710475197,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
76,ネイルホリック,Ethnic,RD408,,,2,47520,DLMI408,,●,¥300,2017/08,4971710475203,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
77,ネイルホリック,Galactic,RD409,,,2,47942,DLMI409,,●,¥300,2018/02,4971710479423,https://maison.kose.co.jp/site/nailholic/g/gDLMI028/,,,,,,,,,,,,,,,,,,,,
78,ネイルホリック,Soulful,RD410,,,2,49797,DLMI410,ORICOM様,●,¥300,2020/02,4971710497977,https://maison.kose.co.jp/site/nailholic/g/gDLMI209/,,,,,,,,,,,,,,,,,,,,
79,ネイルホリック,Soulful,RD411,,,2,49798,DLMI411,ORICOM様,●,¥300,2020/02,4971710497984,https://maison.kose.co.jp/site/nailholic/g/gDLMI209/,,,,,,,,,,,,,,,,,,,,
80,ネイルホリック,Soulful,RD412,,,2,49799,DLMI412,ORICOM様,●,¥300,2020/02,4971710497991,https://maison.kose.co.jp/site/nailholic/g/gDLMI209/,,,,,,,,,,,,,,,,,,,,
81,ネイルホリック,Soulful,RD413,,,2,49802,DLMI413,ORICOM様,●,¥300,2020/02,4971710498028,https://maison.kose.co.jp/site/nailholic/g/gDLMI209/,,,,,,,,,,,,,,,,,,,,
82,ネイルホリック,Soulful,RD414,,,2,49803,DLMI414,ORICOM様,●,¥300,2020/02,4971710498035,https://maison.kose.co.jp/site/nailholic/g/gDLMI209/,,,,,,,,,,,,,,,,,,,,
83,ネイルホリック,Vivid,YE502,,,2,44493,DLMI502,psd,●,¥300,2015/02,4971710444933,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
84,ネイルホリック,Juicy,YE503,,クリア,2,46637,DLMI503,,●,¥300,2016/08,4971710466379,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
85,ネイルホリック,"Sheer
Pearl",YE504,,パール,2,47177,DLMI504,,●,¥300,2017/02,4971710471779,https://maison.kose.co.jp/site/nailholic/g/gDLMI818/,,,,,,,,,,,,,,,,,,,,
86,ネイルホリック,Luxury,YE505,,パール,2,47180,DLMI505,,●,¥300,2017/02,4971710471809,https://maison.kose.co.jp/site/nailholic/g/gDLMI910/,,,,,,,,,,,,,,,,,,,,
87,ネイルホリック,Relaxing,YE506,,,,47545,DLMI506,,●,¥300,2017/08,4971710475456,https://maison.kose.co.jp/site/nailholic/g/gDLMI317/,,,,,,,,,,,,,,,,,,,,
88,ネイルホリック,Ethnic,YE507,,,,47550,DLMI507,,●,¥300,2017/08,4971710475500,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
89,ネイルホリック,Milky,YE508,,,,47931,DLMI508,,●,¥300,2018/02,4971710479317,https://maison.kose.co.jp/site/nailholic/g/gDLMI917/,,,,,,,,,,,,,,,,,,,,
90,ネイルホリック,Vivid,RO600,,,2,44497,DLMI600,,●,¥300,2015/02,4971710444971,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
91,ネイルホリック,Vivid,RO601,,,2,44506,DLMI601,psd,●,¥300,2015/02,4971710445060,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
92,ネイルホリック,Classic,RO602,,,2,44518,DLMI602,,●,¥300,2015/02,4971710445183,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
93,ネイルホリック,Classic,RO603,,,2,44519,DLMI603,,●,¥300,2015/02,4971710445190,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
94,ネイルホリック,Juicy,RO604,,クリア,2,46646,DLMI604,,●,¥300,2016/08,4971710466461,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
