No,商品名,サブ,色番,爪サンプル,質感,塗った回数,商品符号,税抜価格,発売年月,販売終了日,限定フラグ,情報公開日,色カテゴリID,シリーズID,タブ用シリーズ名,シリーズ名
152,ネイルホリック,,BL914,,,,DLMI914,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
153,ネイルホリック,,BL915,,,,DLMI915,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
154,ネイルホリック,,BL916,,,,DLMI916,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
155,ネイルホリック,,BL917,,,,DLMI917,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
156,ネイルホリック,,BL918,,,,DLMI918,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
157,ネイルホリック,,BL919,,,,DLMI919,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2040,Galactic,Galactic color
158,ネイルホリック,,BL920,,,,DLMI920,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
159,ネイルホリック,,BL921,,,,DLMI921,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
160,ネイルホリック,,BL922,,,,DLMI922,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
161,ネイルホリック パーティーフレーク,,SP020,,,,DLMJ020,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
162,ネイルホリック パーティーフレーク,,SP021,,,,DLMJ021,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
163,ネイルホリック パーティーフレーク,,SP022,,,,DLMJ022,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
164,ネイルホリック パーティーフレーク,,SP023,,,,DLMJ023,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
165,ネイルホリック パーティーフレーク,,SP024,,,,DLMJ024,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
166,ネイルホリック パーティーフレーク,,SP025,,,,DLMJ025,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
167,ネイルホリック パーティーフレーク,,SV026,,,,DLMJ026,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
168,ネイルホリック パーティーフレーク,,GD027,,,,DLMJ027,¥360,2017/02/01,2099/12/31,0,2017/02/01,,3540,Party flake,Party flake
169,ネイルホリック パステルスノー,,GY050,,,,DLMK050,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
170,ネイルホリック パステルスノー,,WT051,,,,DLMK051,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
171,ネイルホリック パステルスノー,,PU150,,,,DLMK150,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
172,ネイルホリック パステルスノー,,OR250,,,,DLMK250,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
173,ネイルホリック パステルスノー,,YE550,,,,DLMK550,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
174,ネイルホリック パステルスノー,,GR750,,,,DLMK750,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
175,ネイルホリック パステルスノー,,PK850,,,,DLMK850,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
176,ネイルホリック パステルスノー,,PK851,,,,DLMK851,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
177,ネイルホリック パステルスノー,,BE852,,,,DLMK852,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
178,ネイルホリック パステルスノー,,BL950,,,,DLMK950,¥360,2017/02/01,2020/08/15,0,2017/02/01,,3530,Pastel snow,Pastel snow
179,ネイルホリック フローズンシュガー,,WT060,,,,DLMQ060,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3520,Frozen sugar,Frozen sugar
180,ネイルホリック フローズンシュガー,,OR260,,,,DLMQ260,¥360,2018/02/01,2099/12/31,0,2018/02/01,,3520,Frozen sugar,Frozen sugar
181,ネイルホリック フローズンシュガー,,YE561,,,,DLMQ561,¥360,2018/02/01,2099/12/31,0,2018/02/01,,3520,Frozen sugar,Frozen sugar
182,ネイルホリック フローズンシュガー,,GR760,,,,DLMQ760,¥360,2018/02/01,2099/12/31,0,2018/02/01,,3520,Frozen sugar,Frozen sugar
183,ネイルホリック フローズンシュガー,,PK860,,,,DLMQ860,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3520,Frozen sugar,Frozen sugar
184,ネイルホリック フローズンシュガー,,BL961,,,,DLMQ961,¥360,2018/02/01,2099/12/31,0,2018/02/01,,3520,Frozen sugar,Frozen sugar
185,ネイルホリック ファーモード,,GY070,,,,DLMT070,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
186,ネイルホリック ファーモード,,WT071,,,,DLMT071,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
187,ネイルホリック ファーモード,,BR370,,,,DLMT370,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
188,ネイルホリック ファーモード,,BR371,,,,DLMT371,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
189,ネイルホリック ファーモード,,BE372,,,,DLMT372,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
190,ネイルホリック ファーモード,,BE373,,,,DLMT373,¥360,2016/08/01,2020/08/15,0,2016/08/01,,3550,Fur mode,Fur mode
191,ネイルホリック ２４＿７,,BE380,,,,DLNA380,¥800,2019/07/01,2099/12/31,0,2019/07/01,,4000,24_7,24_7シリーズ
192,ネイルホリック ２４＿７,,BE381,,,,DLNA381,¥800,2019/07/01,2099/12/31,0,2019/07/01,,4000,24_7,24_7シリーズ
193,ネイルホリック ２４＿７,,BE382,,,,DLNA382,¥800,2019/07/01,2099/12/31,0,2019/07/01,,4000,24_7,24_7シリーズ
